Qty,Component,Component name,Supplier,Manufacturer,MPN,Digi-Key Part Number,Unit Cost (CAD),Build Cost (CAD),Link,,
1,IC1,IC OPAMP GP 1 CIRCUIT 8DIP,DigiKey,Microchip Technology,MCP6231-E/P,MCP6231-E/P-ND, $0.69 , $0.69 ,https://www.digikey.ca/en/products/detail/microchip-technology/MCP6231-E-P/716239?s=N4IgTCBcDaILIGEAKA2MBmAjAWgKIHolsA5AERAF0BfIA,,
2,"D1,D3",SENSOR PHOTODIODE 850NM 2DIP,DigiKey,OSRAM,BPW34,475-1070-ND, $1.63 , $3.26 ,https://www.digikey.ca/product-detail/en/osram-opto-semiconductors-inc/BPW34/475-1070-ND/607274,,
1,D2,Schottky diode 1N5817,DigiKey,STMicroelectronics,1N5817,497-4547-1-ND, $0.33 , $0.33 ,https://www.digikey.ca/en/products/detail/stmicroelectronics/1N5817/770963,,
1,LED1,"	LED GREEN CLEAR 5MM ROUND",DigiKey,Cree LED,C566D-GFF-CY14Q7S1,C566D-GFF-CY14Q7S1-ND, $0.43 , $0.43 ,https://www.digikey.ca/en/products/detail/cree-led/C566D-GFF-CY14Q7S1/4793750,,
1,C1,"CAP CER 10000PF 50V Z5U RADIAL	",DigiKey,KEMET,C315C103M5U5TA7301,399-13973-1-ND, $0.40 , $0.40 ,https://www.digikey.ca/product-detail/en/kemet/C315C103M5U5TA7301/399-13973-1-ND/6562544,,
2,"C2,C5",CAP CER 33PF 50V X7R RADIAL,DigiKey,KEMET,C315C330K2G5TA7301 ,399-13940-1-ND , $0.54 , $1.08 ,https://www.digikey.ca/product-detail/en/kemet/C315C330K2G5TA7301/399-13940-1-ND/6562533,,
1,C3,CAP CER 10PF 50V C0G/NP0 RADIAL,DigiKey,Vishay Siliconix,"	K100J15C0GF5TL2","	BC1001CT-ND", $0.35 , $0.35 ,https://www.digikey.ca/product-detail/en/vishay-bc-components/K100J15C0GF5TL2/BC1001CT-ND/286623,,
1,C4,CAP CER 1UF 25V X7R RADIAL,DigiKey,KEMET,C315C105K3R5TA,399-9714-ND, $1.32 , $1.32 ,https://www.digikey.ca/en/products/detail/kemet/C315C105K3R5TA/3726118,,
1,R1,TRIMMER 100K OHM 0.5W PC PIN TOP ,DigiKey,Bourns Inc.,3386P-1-104TLF , 3386P-104TLF-ND , $3.39 , $3.39 ,https://www.digikey.ca/product-detail/en/bourns-inc/3386P-1-104TLF/3386P-104TLF-ND/1232548,,
1,R3,200K Resistor,DigiKey,Yageo,CFR-25JB-52-200K,200KQBK-ND, $0.15 , $0.15 ,https://www.digikey.ca/product-detail/en/yageo/CFR-25JB-52-200K/200KQBK-ND/711,,
1,R2,"	RES 10K OHM 1/4W 5% AXIAL",DigiKey,Yageo,CFR-25JB-52-10K,10KQBK-ND, $0.15 , $0.15 ,https://www.digikey.ca/product-detail/en/yageo/CFR-25JB-52-10K/10KQBK-ND/338,,
1,B1,CR2032 battery holder,DigiKey,Memory Protection Devices,BU2032SM-BT-GTR,BU2032SM-FH-GCT-ND, $1.88 , $1.88 ,https://www.digikey.ca/en/products/detail/mpd-memory-protection-devices/BU2032SM-BT-GTR/2439521,,
1,S1,SWITCH SLIDE SPDT 200MA 30V,DigiKey,E-Switch,EG1218,EG1903-ND, $1.21 , $1.21 ,https://www.digikey.ca/product-detail/en/e-switch/EG1218/EG1903-ND/101726,,
1,3.5mm Cable ,CBL ASSY 3.5MM SLIM 6' MONO BLK,DigiKey,Tensility International Corp ,10-00344,839-1039-ND , $3.49 , $3.49 ,https://www.digikey.ca/product-detail/en/tensility-international-corp/10-00344/839-1039-ND/2350247,,
1,Cable Tie,"Cable Tie, Nylon, 71 mm long, 1.8 mm wide",Digikey,Panduit ,PLT.6SM-C,PLT.6SM-C, $0.32 , $0.32 ,https://www.digikey.ca/en/products/detail/panduit-corp/PLT-6SM-C/280029,,
2,Screws,M2X8mm screw,DigiKey,APM Hexseal,RM2X8MM 2701,335-1155-ND, $1.14 , $2.28 ,https://www.digikey.ca/product-detail/en/apm-hexseal/RM2X8MM-2701/335-1155-ND/612919,,
2,"Q1,Q2",MOSFET N-CH 100V 1A 4-DIP,Amazon,,IRLD110PBF,, $1.28 , $2.55 ,https://www.amazon.ca/10PCS-IRLD110-DIP4-IRLD110PBF-DIP-4/dp/B0DSSJTPH8,,
1,CR2032,CR2032 3V Battery,Amazon,AmazonBasics ,CR2032 ,, $0.73 , $0.73 ,https://www.amazon.ca/AmazonBasics-Lithium-CR2032-Batteries-10-Pack/dp/B07RXJ4S7Z,,
,,,,,,Total Electronics Cost, $24.01 , $24.01 ,,,
